Date,Value
2018-04-30,2.084
2018-04-27,2.081
2018-04-26,2.086
2018-04-25,2.062
2018-04-24,2.07
2018-04-23,2.064
2018-04-20,2.067
2018-04-19,2.053
2018-04-18,2.047
2018-04-17,2.013
2018-04-16,2.015
2018-04-13,1.997
2018-04-12,1.991
2018-04-11,2.002
2018-04-10,1.96
2018-04-09,1.887
2018-04-06,1.855
2018-04-05,1.891
2018-04-04,1.892
2018-04-03,1.889
2018-04-02,1.888
2018-03-29,1.938
2018-03-28,1.899
2018-03-27,1.892
2018-03-26,1.893
2018-03-23,1.912
2018-03-22,1.889
2018-03-21,1.897
2018-03-20,1.831
2018-03-19,1.797
2018-03-16,1.814
2018-03-15,1.788
2018-03-14,1.786
2018-03-13,1.755
2018-03-12,1.751
2018-03-09,1.753
2018-03-08,1.752
2018-03-07,1.794
2018-03-06,1.793
2018-03-05,1.794
2018-03-02,1.767
2018-03-01,1.927
2018-02-28,1.794
2018-02-27,1.844
2018-02-26,1.868
2018-02-23,1.854
2018-02-22,1.804
2018-02-21,1.788
2018-02-20,1.787
2018-02-16,1.791
2018-02-15,1.782
2018-02-14,1.758
2018-02-13,1.731
2018-02-12,1.732
2018-02-09,1.757
2018-02-08,1.801
2018-02-07,1.815
2018-02-06,1.86
2018-02-05,1.897
2018-02-02,1.93
2018-02-01,1.948
2018-01-31,1.965
2018-01-30,1.951
2018-01-29,1.995
2018-01-26,1.999
2018-01-25,1.966
2018-01-24,1.981
2018-01-23,1.97
2018-01-22,1.948
2018-01-19,1.914
2018-01-18,1.926
2018-01-17,1.903
2018-01-16,1.878
2018-01-12,1.886
2018-01-11,1.866
2018-01-10,1.863
2018-01-09,1.862
2018-01-08,1.823
2018-01-05,1.817
2018-01-04,1.832
2018-01-03,1.822
2018-01-02,1.792
2017-12-29,1.829
2017-12-28,1.831
2017-12-27,1.824
2017-12-26,1.822
2017-12-22,1.791
2017-12-21,1.779
2017-12-20,1.772
2017-12-19,1.725
2017-12-18,1.7
2017-12-15,1.689
2017-12-14,1.714
2017-12-13,1.688
2017-12-12,1.735
2017-12-11,1.762
2017-12-08,1.751
2017-12-07,1.735
2017-12-06,1.703
2017-12-05,1.752
2017-12-04,1.738
2017-12-01,1.774
2017-11-30,1.763
2017-11-29,1.77
2017-11-28,1.796
2017-11-27,1.825
2017-11-24,1.822
2017-11-22,1.803
2017-11-21,1.805
2017-11-20,1.778
2017-11-17,1.778
2017-11-16,1.772
2017-11-15,1.788
2017-11-14,1.813
2017-11-13,1.858
2017-11-10,1.899
2017-11-09,1.879
2017-11-08,1.934
2017-11-07,1.921
2017-11-06,1.928
2017-11-03,1.879
2017-11-02,1.846
2017-11-01,1.794
2017-10-31,1.84
2017-10-30,1.823
2017-10-27,1.83
2017-10-26,1.817
2017-10-25,1.8
2017-10-24,1.785
2017-10-23,1.738
2017-10-20,1.745
2017-10-19,1.706
2017-10-18,1.717
2017-10-17,1.697
2017-10-16,1.689
2017-10-13,1.691
2017-10-12,1.657
2017-10-11,1.684
2017-10-10,1.667
2017-10-09,1.628
2017-10-06,1.632
2017-10-05,1.693
2017-10-04,1.655
2017-10-03,1.627
2017-10-02,1.618
2017-09-29,1.637
2017-09-28,1.665
2017-09-27,1.714
2017-09-26,1.788
2017-09-25,1.827
2017-09-22,1.747
2017-09-21,1.738
2017-09-20,1.741
2017-09-19,1.784
2017-09-18,1.82
2017-09-15,1.843
2017-09-14,1.807
2017-09-13,1.824
2017-09-12,1.997
2017-09-11,1.974
2017-09-08,2.045
2017-09-07,2.053
2017-09-06,2.068
2017-09-05,1.998
2017-09-01,2.074
2017-08-31,2.17
2017-08-30,1.93
2017-08-29,1.829
2017-08-28,1.749
2017-08-25,1.704
2017-08-24,1.707
2017-08-23,1.645
2017-08-22,1.619
2017-08-21,1.612
2017-08-18,1.646
2017-08-17,1.613
2017-08-16,1.584
2017-08-15,1.602
2017-08-14,1.598
2017-08-11,1.632
2017-08-10,1.616
2017-08-09,1.643
2017-08-08,1.634
2017-08-07,1.649
2017-08-04,1.654
2017-08-03,1.645
2017-08-02,1.656
2017-08-01,1.678
2017-07-31,1.686
2017-07-28,1.658
2017-07-27,1.626
2017-07-26,1.601
2017-07-25,1.603
2017-07-24,1.559
2017-07-21,1.569
2017-07-20,1.619
2017-07-19,1.627
2017-07-18,1.581
2017-07-17,1.561
2017-07-14,1.565
2017-07-13,1.531
2017-07-12,1.522
2017-07-11,1.522
2017-07-10,1.505
2017-07-07,1.492
2017-07-06,1.51
2017-07-05,1.482
2017-06-30,1.493
2017-06-29,1.454
2017-06-28,1.455
2017-06-27,1.425
2017-06-26,1.408
2017-06-23,1.399
2017-06-22,1.393
2017-06-21,1.368
2017-06-20,1.376
2017-06-19,1.404
2017-06-16,1.404
2017-06-15,1.389
2017-06-14,1.385
2017-06-13,1.458
2017-06-12,1.441
2017-06-09,1.46
2017-06-08,1.449
2017-06-07,1.453
2017-06-06,1.53
2017-06-05,1.512
2017-06-02,1.558
2017-06-01,1.573
2017-05-31,1.58
2017-05-30,1.602
2017-05-26,1.612
2017-05-25,1.576
2017-05-24,1.617
2017-05-23,1.626
2017-05-22,1.62
2017-05-19,1.611
2017-05-18,1.566
2017-05-17,1.566
2017-05-16,1.562
2017-05-15,1.539
2017-05-12,1.528
2017-05-11,1.513
2017-05-10,1.492
2017-05-09,1.434
2017-05-08,1.462
2017-05-05,1.452
2017-05-04,1.428
2017-05-03,1.475
2017-05-02,1.469
2017-05-01,1.476
2017-04-28,1.484
2017-04-27,1.506
2017-04-26,1.527
2017-04-25,1.57
2017-04-24,1.577
2017-04-21,1.599
2017-04-20,1.615
2017-04-19,1.601
2017-04-18,1.653
2017-04-17,1.636
2017-04-13,1.649
2017-04-12,1.648
2017-04-11,1.665
2017-04-10,1.67
2017-04-07,1.649
2017-04-06,1.686
2017-04-05,1.617
2017-04-04,1.633
2017-04-03,1.593
2017-03-31,1.6
2017-03-30,1.585
2017-03-29,1.575
2017-03-28,1.546
2017-03-27,1.519
2017-03-24,1.512
2017-03-23,1.483
2017-03-22,1.484
2017-03-21,1.485
2017-03-20,1.492
2017-03-17,1.459
2017-03-16,1.457
2017-03-15,1.46
2017-03-14,1.452
2017-03-13,1.442
2017-03-10,1.456
2017-03-09,1.493
2017-03-08,1.482
2017-03-07,1.494
2017-03-06,1.496
2017-03-03,1.45
2017-03-02,1.438
2017-03-01,1.455
2017-02-28,1.549
2017-02-27,1.57
2017-02-24,1.545
2017-02-23,1.548
2017-02-22,1.534
2017-02-21,1.512
2017-02-17,1.525
2017-02-16,1.539
2017-02-15,1.565
2017-02-14,1.552
2017-02-13,1.556
2017-02-10,1.581
2017-02-09,1.564
2017-02-08,1.546
2017-02-07,1.483
2017-02-06,1.508
2017-02-03,1.561
2017-02-02,1.567
2017-02-01,1.605
2017-01-31,1.555
2017-01-30,1.528
2017-01-27,1.556
2017-01-26,1.57
2017-01-25,1.552
2017-01-24,1.594
2017-01-23,1.6
2017-01-20,1.606
2017-01-19,1.579
2017-01-18,1.594
2017-01-17,1.644
2017-01-13,1.654
2017-01-12,1.659
2017-01-11,1.635
2017-01-10,1.577
2017-01-09,1.615
2017-01-06,1.68
2017-01-05,1.695
2017-01-04,1.697
2017-01-03,1.682
2016-12-30,1.722
2016-12-29,1.729
2016-12-28,1.739
2016-12-27,1.711
