,Date,price,day1,day2,day3,day4,day5,day6,day7,day8,day9,day10
0,9/13/11,5.93,5.59,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71
1,9/14/11,5.59,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72
2,9/15/11,5.09,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05
3,9/16/11,4.85,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98
4,9/17/11,4.87,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9
5,9/18/11,4.84,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86
6,9/19/11,4.9,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82
7,9/20/11,5.39,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85
8,9/21/11,5.71,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92
9,9/22/11,5.7,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03
10,9/23/11,5.71,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91
11,9/24/11,5.72,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69
12,9/25/11,6.05,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46
13,9/26/11,5.98,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89
14,9/27/11,4.9,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5
15,9/28/11,4.86,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0
16,9/29/11,4.82,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94
20,10/3/11,4.85,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95
21,10/4/11,4.92,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05
22,10/5/11,5.03,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92
23,10/6/11,4.91,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25
24,10/7/11,4.69,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24
25,10/8/11,4.46,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93
26,10/9/11,3.89,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69
27,10/10/11,4.5,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68
28,10/11/11,4.0,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76
29,10/12/11,3.94,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87
30,10/13/11,3.95,4.05,3.92,2.25,2.24,2.93,2.69,2.68,3.76,3.87,3.67
